epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
82,238.746,1.22788,0.07412,0.41074,0.48189,0.02472,5.00495,0.95713,0.91132,0.94875,0.5066,0.95713,0.91132,0.95076,0.94822,1.53275,0.09348,0.11396,0.51185,0.03003,0,0.0004654,0.0004654,0.0004654
83,241.505,1.16382,0.06788,0.38964,0.41077,0.0233,4.92244,0.95296,0.89796,0.95372,0.53196,0.95296,0.89796,0.96511,0.95346,1.44025,0.07973,0.11312,0.49374,0.0273,0,0.0004588,0.0004588,0.0004588
84,244.26,1.21071,0.06083,0.41767,0.4469,0.02326,4.48602,0.95012,0.91837,0.95021,0.55603,0.95012,0.91837,0.95066,0.95057,1.32279,0.08048,0.1116,0.4488,0.02485,0,0.0004522,0.0004522,0.0004522
85,247.033,1.28877,0.10359,0.3614,0.50046,0.02639,4.90271,0.95728,0.91477,0.94864,0.5811,0.95728,0.91477,0.95131,0.95051,1.27407,0.10295,0.11442,0.45098,0.02495,0,0.0004456,0.0004456,0.0004456
86,249.769,1.20007,0.09983,0.47803,0.52595,0.02377,4.97873,0.94517,0.91837,0.95235,0.58646,0.94517,0.91837,0.95235,0.95235,1.25709,0.10391,0.1172,0.43574,0.02506,0,0.000439,0.000439,0.000439
87,252.517,1.18154,0.05967,0.42507,0.50199,0.02384,4.58744,0.90521,0.97447,0.95726,0.59336,0.90521,0.97447,0.9578,0.95769,1.28258,0.10991,0.11382,0.43068,0.02666,0,0.0004324,0.0004324,0.0004324
88,255.306,1.18525,0.04967,0.42067,0.44901,0.02497,4.4017,0.92261,0.95918,0.95464,0.5795,0.92261,0.95918,0.95553,0.95536,1.33989,0.11226,0.11559,0.44661,0.02838,0,0.0004258,0.0004258,0.0004258
89,258.121,1.14508,0.07366,0.43841,0.44374,0.02186,4.69378,0.93639,0.93878,0.96153,0.54856,0.93639,0.93878,0.96153,0.96153,1.41698,0.10996,0.1146,0.45589,0.02973,0,0.0004192,0.0004192,0.0004192
90,260.951,1.26304,0.07806,0.38782,0.48708,0.02462,4.66985,0.91973,0.93545,0.94241,0.52919,0.91973,0.93545,0.95141,0.94961,1.47356,0.09794,0.11634,0.49415,0.03082,0,0.0004126,0.0004126,0.0004126
91,263.735,1.13628,0.05259,0.3938,0.48291,0.02237,4.36853,0.92121,0.95456,0.94275,0.51455,0.92121,0.95456,0.94798,0.94694,1.52181,0.09048,0.11582,0.48282,0.03105,0,0.000406,0.000406,0.000406
