epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
106,454.875,0.28684,0.4583,0.24789,0.87302,0,0.96896,0.97564,0.99249,0.94525,0.96896,0.97564,0.99249,0.93994,0.28253,0.5051,0.25431,0.90034,0,0.000307,0.000307,0.000307
107,459.362,0.29193,0.46805,0.25108,0.87035,0,0.95394,0.97656,0.9911,0.94914,0.95394,0.97656,0.9911,0.93421,0.27924,0.50814,0.25952,0.89739,0,0.0003004,0.0003004,0.0003004
108,463.62,0.30876,0.51207,0.27479,0.87253,0,0.97568,0.96094,0.99064,0.9574,0.97568,0.96094,0.99064,0.94409,0.27728,0.4974,0.26211,0.8957,0,0.0002938,0.0002938,0.0002938
109,467.908,0.30273,0.49774,0.2839,0.8842,0,0.9763,0.96564,0.99028,0.95915,0.9763,0.96564,0.99028,0.94652,0.26382,0.49657,0.25997,0.89215,0,0.0002872,0.0002872,0.0002872
110,472.138,0.29507,0.51118,0.25566,0.87833,0,0.98321,0.95312,0.98952,0.95374,0.98321,0.95312,0.98952,0.94845,0.26863,0.50174,0.26528,0.88706,0,0.0002806,0.0002806,0.0002806
111,476.345,0.28937,0.46854,0.26606,0.87093,0,0.96785,0.96875,0.98842,0.95497,0.96785,0.96875,0.98842,0.94295,0.27369,0.50383,0.2576,0.89276,0,0.000274,0.000274,0.000274
112,480.713,0.29062,0.48898,0.2731,0.86991,0,0.97572,0.96875,0.98865,0.95133,0.97572,0.96875,0.98865,0.9474,0.27051,0.50976,0.24917,0.89235,0,0.0002674,0.0002674,0.0002674
113,484.956,0.28264,0.44745,0.2506,0.87684,0,0.96149,0.97517,0.99019,0.95541,0.96149,0.97517,0.99245,0.94039,0.26543,0.50401,0.24326,0.89117,0,0.0002608,0.0002608,0.0002608
114,489.211,0.29896,0.48469,0.27029,0.87765,0,0.96171,0.98106,0.99151,0.95661,0.96171,0.98106,0.99193,0.94945,0.27508,0.48863,0.25063,0.89915,0,0.0002542,0.0002542,0.0002542
115,493.485,0.30428,0.47439,0.27268,0.87528,0,0.9617,0.98079,0.99047,0.95849,0.9617,0.98079,0.99047,0.94589,0.26799,0.50481,0.25292,0.9017,0,0.0002476,0.0002476,0.0002476
116,497.619,0.29333,0.49654,0.2642,0.87142,0,0.97599,0.95275,0.98289,0.95112,0.97599,0.95275,0.98289,0.93943,0.26587,0.49486,0.26047,0.89446,0,0.000241,0.000241,0.000241
117,501.767,0.2955,0.48581,0.51082,0.85975,0,0.96889,0.97324,0.98317,0.94524,0.96889,0.97324,0.98317,0.93477,0.27134,0.49837,0.26507,0.89647,0,0.0002344,0.0002344,0.0002344
